역번호,역명,외부역번호,호선,문화공간여부,휠체어리프트여부,만남의장소여부,환승주차장여부,자전거보관소여부,엘리베이터여부,기차예매역여부,무인민원발급기여부,환전키오스크여부,수유실여부
150,서울역,133,1호선,N,Y,N,N,N,Y,N,N,N,N
151,시청,132,1호선,N,N,N,N,N,Y,N,N,N,N
152,종각,131,1호선,N,N,N,N,Y,Y,N,Y,N,N
153,종로3가,130,1호선,N,N,N,N,N,Y,N,N,N,Y
154,종로5가,129,1호선,N,N,N,N,N,Y,N,N,N,N
155,동대문,128,1호선,N,N,Y,N,Y,Y,N,N,N,Y
156,신설동,126,1호선,N,Y,N,N,N,Y,N,N,N,N
157,제기동,125,1호선,N,N,N,N,Y,Y,N,N,N,N
158,청량리,124,1호선,N,Y,N,N,N,Y,Y,N,N,N
159,동묘앞,127,1호선,N,N,N,N,Y,Y,N,N,N,N
200,까치산,234-4,2호선,N,N,N,N,N,N,N,Y,N,Y
201,시청,201,2호선,N,N,N,N,N,Y,N,N,N,N
202,을지로입구,202,2호선,N,N,N,N,N,Y,N,N,N,N
203,을지로3가,203,2호선,N,N,N,N,N,Y,N,N,N,N
204,을지로4가,204,2호선,N,N,Y,N,N,Y,N,N,N,N
205,동대문역사문화공원,205,2호선,N,N,N,N,Y,Y,N,N,Y,N
206,신당,206,2호선,N,N,Y,N,N,Y,N,N,N,N
207,상왕십리,207,2호선,N,Y,Y,N,Y,Y,N,N,N,N
208,왕십리,208,2호선,N,N,Y,N,Y,Y,N,N,N,N
209,한양대,209,2호선,N,N,Y,N,Y,Y,N,N,N,N
210,뚝섬,210,2호선,N,N,Y,N,Y,Y,N,N,N,N
211,성수,211,2호선,N,N,Y,N,Y,Y,N,N,N,Y
212,건대입구,212,2호선,N,N,Y,N,Y,Y,N,Y,N,N
213,구의,213,2호선,N,N,Y,N,Y,Y,N,Y,N,N
214,강변,214,2호선,N,N,N,N,Y,Y,N,N,N,Y
215,잠실나루,215,2호선,N,N,Y,Y,Y,Y,N,N,N,N
216,잠실,216,2호선,N,Y,N,N,Y,Y,N,N,Y,Y
217,잠실새내,217,2호선,N,N,Y,N,Y,Y,N,N,N,N
218,종합운동장,218,2호선,N,N,Y,N,N,Y,N,N,N,N
219,삼성,219,2호선,N,Y,N,N,Y,Y,N,Y,Y,Y
220,선릉,220,2호선,Y,N,N,N,N,Y,N,Y,N,N
221,역삼,221,2호선,N,N,Y,N,N,Y,N,Y,N,N
222,강남,222,2호선,N,N,N,N,N,Y,N,Y,N,Y
223,교대,223,2호선,N,N,Y,N,Y,Y,N,N,N,N
224,서초,224,2호선,N,N,Y,N,Y,Y,N,N,N,N
225,방배,225,2호선,N,N,Y,N,Y,Y,N,N,N,N
226,사당,226,2호선,Y,N,Y,N,Y,Y,N,N,N,N
227,낙성대,227,2호선,N,N,Y,N,N,Y,N,Y,N,N
228,서울대입구,228,2호선,N,N,Y,N,Y,Y,N,Y,N,N
229,봉천,229,2호선,N,N,Y,N,N,Y,N,Y,N,N
230,신림,230,2호선,N,N,Y,Y,Y,Y,N,Y,N,Y
231,신대방,231,2호선,N,N,Y,Y,Y,Y,N,N,N,N
232,구로디지털단지,232,2호선,N,N,Y,Y,Y,Y,N,N,N,N
233,대림,233,2호선,N,N,Y,N,Y,Y,N,N,N,Y
234,신도림,234,2호선,N,N,N,Y,Y,Y,N,N,N,N
235,문래,235,2호선,N,N,Y,N,Y,Y,N,N,N,N
236,영등포구청,236,2호선,N,N,Y,Y,N,Y,N,N,N,Y
237,당산,237,2호선,N,N,Y,N,N,Y,N,Y,N,N
